93242;Телевизор NEOVO X-1501;24388;2022-02-08;2022-02-08;;Казань;Ремонту не подлежит. Неисправна матрица.
93231;Информационное табло светодиодное ИТС-0840.1-4RGВ-2-2;698;2022-02-08;;;Архангельск;плата контроллера табло (ПЛИС )
93106;Контроллер информационной панели КИП-2 АВДБ.687240.075;121;2022-02-03;2022-02-06;;Санкт-Петербург;В ЭЛК
93105;Контроллер информационной панели КИП-2 АВДБ.687240.075;34;2022-02-03;2022-02-06;;Санкт-Петербург;В ЭЛК
93056;Контроллер информационной панели КИП-7 АВДБ.687240.100;863;2022-02-02;2022-02-03;;Оренбург;Сбой ПО. В ЭЛК
93030;Прочее (см. примечания);;2022-01-31;2022-01-31;;Новосибирск;Плата инвертора
92986;Кросс-плата ССПИ Э-00.02.07.23.301;2;2022-01-27;;;Воронеж;"ВВРЗ(ЗАВОД). Отпр. в ремонт в ""ЭКСПРЕСС"" 4.02.2022"
92985;Кросс-плата ССПИ Э-00.02.07.23.301;1;2022-01-27;;;Воронеж;"ВВРЗ(ЗАВОД). Отпр. в ремонт в ""ЭКСПРЕСС"" 4.02.2022"
92946;Светильник встраиваемый светодиодный СВС-01;;2022-01-27;2022-02-02;2022-02-03;Москва-Николаевка;Написана деф. ведомость см. №90009
92938;Плата П1 (ГАМЕМ);1101837;2022-01-26;2022-01-27;2022-02-11;Владивосток;Трансформатор сгорел
92855;Плата упр. ВВ преобразователем СМПК.468332.120;59;2022-01-24;;;Ярославль;Необходима калибровка, на ЭЛСИЭЛ.
92827;Инвертор ИН 110/220/1500/50;2391;2022-01-24;2022-02-03;;Чита;
92800;Операторская панель ABB CP552;0648-028;2022-01-21;;;Адлер;
92794;Операторская панель ABB CP430;6620200459;2022-01-21;2022-02-02;;Новосибирск;Процессор
92791;Панель маршрутная ПМЛ-110-06 АВДБ.687240.085;27;2022-01-21;2022-01-21;2022-01-21;Воронеж;
92790;Панель маршрутная ПМЛ-110-06 АВДБ.687240.085;342;2022-01-21;2022-01-21;2022-01-21;Воронеж;
92789;Панель маршрутная ПМЛ-110-06 АВДБ.687240.085;276;2022-01-21;2022-01-21;2022-01-21;Воронеж;
92703;Плата силового модуля СМПК.758725.039;2159;2022-01-18;2022-02-07;;Уфа;коррозия печатной платы
92689;Контроллер вагона;4551;2022-01-17;2022-02-10;;Нижний Новгород;Не вкл. Гарантия. В ЭЛК
92688;Контроллер вагона;3985;2022-01-17;2022-02-10;;Нижний Новгород;Сбой ПО. В ЭЛК
92680;Контроллер ABB 07KR51;0EEB0066;2022-01-17;2022-01-18;2022-02-04;Хабаровск;вышла из строя плс clt83020. Отправлен на ВВРЗ взамен на новый.
92615;Информационное табло светодиодное ИТС-0840.1-4RGВ-2-2;551;2022-01-17;;;Саратов;плата контроллера табло (ПЛИС )
92607;Плата ПУ5М (ГАМЕМ);1408;2022-01-17;;;Вологда;07М На Гамем
92598;Информационное табло светодиодное ИТС-0840.2-4RGВ-1-2;962;2022-01-17;2022-01-27;;Москва-Киевская;В РЕТРА
92595;Прочее (см. примечания);399;2022-01-17;2022-01-25;2022-01-25;Москва-Октябрьская;Плата ПТК-2М2 смпк.758713.003 Прогар печатной платы.
92518;Модуль БУЭ-К (Экспресс 1А41);1803;2022-01-14;;;Иркутск;"Пробит IXTK120N25P, резистор 0,1 Ом в обрыве, микросхема HT18LG-G, пробиты 1,5КЕ100 - 2шт, в обрыве резистор 33 Ом. Неисправен контроллер. Отпр. в ремонт в ""ЭКСПРЕСС"" 4.02.2022"
92510;Плата драйвера 6-к СМПК.758722.143 СМПК.468741.026;3988;2022-01-13;2022-01-26;;Санкт-Петербург;прогар печатной платы
92503;Модуль расширения ABB AI523;2457;2022-01-13;2022-01-18;;Санкт-Петербург;вышла из строя плата y3
92349;Контроллер информационной панели КИП-2 АВДБ.687240.075;46;2021-12-30;;;Адлер;Отпр. в ЭЛК 11.01.2022
92348;Контроллер информационной панели КИП-2 АВДБ.687240.075;33;2021-12-30;;;Адлер;Отпр. в ЭЛК 11.01.2022
92340;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-12-30;;;Иркутск;
92321;Информационное табло светодиодное ИТС-0840.1-4RGВ-2-2;293;2021-12-29;2021-12-30;;Уфа;сгнила матрица 2шт
92312;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-12-29;2022-02-03;2022-02-04;Воронеж;Только плата
92294;Плата драйвера ДТИ 6.1/12 ЭСЭ 0155;;2021-12-28;2022-02-01;;Котлас;требуется замена трансформатора
92271;Инвертор ИН 110/220/7000/50/М1;21904;2021-12-28;2022-01-20;;Новосибирск;В ЛМ инвертор (выгорела плата накачки)
92257;Телевизор SHARP LC-15S1E;1578;2021-12-27;2022-01-20;;Архангельск;Коррозия плат
92228;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-12-27;2022-02-03;2022-02-04;Воронеж;Только плата
92227;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-12-27;2022-02-03;2022-02-04;Воронеж;Только плата
92226;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-12-27;2022-02-03;2022-02-04;Воронеж;Только плата
92225;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-12-27;2022-02-03;2022-02-04;Воронеж;Только плата
92215;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-12-27;;;Нижний Новгород;
92201;Светильник встраиваемый светодиодный СВС-01;;2021-12-24;2022-01-25;2022-01-25;Москва-Николаевка;
92172;Прочее (см. примечания);;2021-12-23;2021-12-23;2021-12-23;Москва-Киевская;Преобразователь ARPV-LV12020. Ремонту не подлежит
92168;Модуль БУЭ-К (Экспресс 1А41);648;2021-12-22;2021-12-23;;Адлер;"Неисправен контроллер. Отпр. в ремонт в ""ЭКСПРЕСС"" 4.02.2022"
92124;Прочее (см. примечания);479;2021-12-22;;;Адлер;Панель информационная ПИ 96х12х4,75 (плата контроллера).Отпр. в ЭЛК 11.01.2022
92122;Контроллер ABB PM581;135;2021-12-21;2021-12-21;2021-12-21;Калининград;
92076;Прочее (см. примечания);43;2021-12-20;;;Ульяновск;Панель маршрутная ПМ 144х24х6 (контроллер).Отпр. в ЭЛК 11.01.2022
92063;Плата драйвера 6-к СМПК.758722.143 СМПК.468741.026;4901;2021-12-20;2021-12-27;;Санкт-Петербург;прогар печатной платы
91998;Модуль расширения ABB AI523;1871;2021-12-16;2022-01-18;;Москва-Ярославская;вышла из строя плата y3
91977;Панель маршрутная ПМЛ-110-06 АВДБ.687240.085;513;2021-12-15;;;Минеральные Воды;Отпр. в ЭЛК 11.01.2022
91962;Контроллер информационной панели КИП-2 АВДБ.687240.075;12;2021-12-14;2021-12-24;;Сервисный центр;Адлер. Залит водой. В ЭЛК.Отпр. в ЭЛК 11.01.2022
91950;Плата инвертора ППН СМПК.758726.163 СМПК.435331.020;208;2021-12-14;2022-01-20;;Сервисный центр;Адлер Прогар печатной платы.
91874;Инвертор двигателя насоса отопл. КДН-150-110;115;2021-12-10;2021-12-14;;Орел;контроллер
91871;Датчик ОДМ-3 ИТ7.102.725;;2021-12-10;2022-01-25;;Москва-Киевская;
91866;Контроллер вагона;3988;2021-12-09;;;Санкт-Петербург;Отпр. в ЭЛК 11.01.2022
91835;Плата силового модуля СМПК.758725.039;1286;2021-12-07;2021-12-07;;Саратов;прогар печатной платы
91830;Панель информационная ПИ 1280х248;783;2021-12-07;2021-12-12;;Ульяновск;Умер ЦП. В ЭЛК. Отпр. в ЭЛК 11.01.2022
91822;Прочее (см. примечания);20;2021-12-07;;;Минеральные Воды;Модуль информационный МИ-1. По просьбе Апаршева П.Ф. после ремонта отправить в Воронеж. В ЭЛК.Отпр. в ЭЛК 11.01.2022
91742;Телевизор NEOVO X-1501;6173;2021-12-01;;;Казань;Отпр. в ЭЛК 11.01.2022
91738;Пульт СКУДОПП-9/4-0-0/0;2625;2021-12-01;2021-12-14;2021-12-30;Орел;Прогар печатной платы
91734;Преобразователь WAGO 50-150/24;526158;2021-11-30;;;Чита;
91672;Контроллер информационной панели КИП-7 АВДБ.687240.100;268;2021-11-29;2021-12-21;;Новосибирск;Неиспр. ЦП. В ЭЛК. Отпр. в ЭЛК 11.01.2022
91628;Модуль ОСН-4 (Экспресс);493;2021-11-29;2021-11-29;2021-11-29;Красноярск;
91595;Сетевой адаптер АВДБ.687280.012;3412;2021-11-26;2021-12-12;;Вологда;Выгорели два порта. В ЭЛК. Отпр. в ЭЛК 11.01.2022
91489;Плата ПУВ3 (ГАМЕМ);289;2021-11-22;2021-11-29;;Адлер;Прогар печатной платы.
91482;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-11-22;;;Санкт-Петербург;
91481;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-11-22;;;Санкт-Петербург;
91480;Контроллер помещения ТЯИЛ.425712.001 (КОНТИНЕНТ);;2021-11-22;;;Санкт-Петербург;
91479;Сетевой адаптер АВДБ.687280.012;155;2021-11-22;2021-12-21;;Санкт-Петербург;Неиспр. плата коммутации. В ЭЛК. Отпр. в ЭЛК 11.01.2022
91391;Прочее (см. примечания);181;2021-11-15;2021-11-15;;Екатеринбург;Плата СМПК.758725.131 прогар ПП
91374;Модуль аналоговый СМПК.426462.010 СМПК.758726.082;194;2021-11-15;2021-11-16;;Москва-Ярославская;Прогар печатной платы.
91370;Модуль ОСН-4 (Экспресс);626;2021-11-15;2021-11-16;;Москва-Ярославская;прогар печатной платы
91351;Плата упр. ВВ преобразователем СМПК.468332.120;51;2021-11-12;2022-02-04;;Сервисный центр;Состояние К5(ложное). На Элсиэл.
91337;Телевизор SHARP LC-15S1E;1624;2021-11-12;2022-01-20;;Киров;
91330;Панель маршрутная ПМЛ-110-06 АВДБ.687240.085;129;2021-11-12;;;Ростов-на-Дону;Отпр. в ЭЛК 11.01.2022
91243;Плата драйвера 2-к СМПК.758726.101 СМПК.435351.002;491;2021-11-08;2021-11-11;;Сервисный центр;Ульяновск замена датчика
91185;Плата контроля СМПК.435332.154 СМПК.758726.213;122;2021-11-03;2021-11-19;;Санкт-Петербург;Вышел из стоя МК.
91173;Модуль БУЭ-К (Экспресс 1А41);1870;2021-11-03;;;Тында;"Неисправен контроллер.Отпр. в ремонт в ""ЭКСПРЕСС"" 4.02.2022"
91165;Плата БУТ-М СМПК.758725.042;421;2021-11-03;2021-11-09;;Москва-Октябрьская;
91159;Контроллер информационной панели КИП-2 АВДБ.687240.075;6;2021-11-01;2021-12-05;;Адлер;Сбой ПО.Неиспр. ЦП: нет USB. В ЭЛК. Отпр. в ЭЛК 11.01.2022
91148;Плата считывающего устр-ва SEA-23;;2021-11-01;2021-12-14;;Орел;Прогар печатной платы
91107;Плата ПУВ2 (ГАМЕМ);10805239Н;2021-11-01;2021-11-09;;Сервисный центр;Санкт-Петербург, ПЛИС
90996;Подъемник инвалида ППТ-1ДП2;549;2021-10-22;;;Казань;микросхема - контроллер MC3PHACVDPE (SO-28)
90992;Плата считывающего устр-ва SEA-23;;2021-10-21;;;Минеральные Воды;
90920;Контроллер информационной панели КИП-1 АВДБ.687240.070;405;2021-10-18;2021-12-05;;Санкт-Петербург;Неиспр. сист. плата(контроллер). В ЭЛК. Отпр. в ЭЛК 11.01.2022
90886;Прочее (см. примечания);2181;2021-10-18;2021-12-08;;Вологда;Панель управления УПСПТ -С-10.0-18/1/0-0,1.Передана Бакину В.В. в ремонт 18.10.2021. Выгорели все платы.
90871;КППУ Барс-4МОс;1576;2021-10-16;2021-10-20;;Орел;
90831;Контроллер ABB 07KR51;0E6F0001;2021-10-14;2022-01-18;;Пермь;Прислали из Челябинска вышла из строя плис
90774;Контроллер помещения ТЯИЛ.468219.008 (КОНТИНЕНТ);;2021-10-12;2021-10-13;;Котлас;
90732;Операторская панель B&R 4PP045;94980176058;2021-10-11;2021-12-30;;Самара;Контроллер
90724;Плата инвертора ППН СМПК.758726.103 СМПК.435331.016;;2021-10-11;2021-10-12;;Самара;прогар печатной платы
90643;Прочее (см. примечания);19110173;2021-10-04;2021-10-19;;Череповец;Плата контроля тока
90625;Контроллер информационной панели КИП-2 АВДБ.687240.075;11;2021-10-04;2021-12-05;;Санкт-Петербург;Залит водой. В ЭЛК. Отпр. в ЭЛК 11.01.2022
90604;Модуль MB04B (KNORR-BREMSE);Z02267856;2021-10-04;2022-02-07;;Санкт-Петербург;Передан Фомину Е.В. в ремонт
90564;Светильник встраиваемый светодиодный СВС-01;;2021-10-04;2022-01-25;2022-01-25;Москва-Николаевка;
90494;Пульт СКУДОПП-9/4-0-0/0;;2021-09-27;;;Киров;неисправен ЦП
90428;Плата инвертора ППН СМПК.758726.163 СМПК.435331.020;309;2021-09-24;2021-09-30;;Ярославль;Прогар печатной платы.
90384;Модуль БУЭ-К (Экспресс 1А41);863;2021-09-22;;;Чита;"ждет HT18LG. Отпр. в ремонт в ""ЭКСПРЕСС"" 4.02.2022"
90381;Прочее (см. примечания);2015;2021-09-22;2021-12-27;;Адлер;Плата 3FAZ-5KW прогар печатной платы
90380;Прочее (см. примечания);;2021-09-22;2021-12-27;;Адлер;Плата IGBT-6KL прогар ПП
90323;Прочее (см. примечания);;2021-09-20;2021-10-01;2021-10-01;Казань;Накопительный реактор преобразователя ПЧ-24-01-У1
90322;Прочее (см. примечания);;2021-09-20;2021-10-01;2021-10-01;Казань;Плата фильтрующих конденсаторов канала ППН1.1
90321;Плата ДРН-1 (ГАМЕМ);21221;2021-09-20;2021-10-01;2021-10-01;Казань;
90320;Плата ДТН-1 (ГАМЕМ);612095;2021-09-20;2021-10-01;2021-10-01;Казань;
90301;Модуль расширения ABB XE08B5;FFFFFFFF;2021-09-17;2022-01-18;;Воронеж;ТВРЗ(ЗАВОД) микроконтроллер в ышел из строя
90292;Телевизор SHARP LC-15S1E;759;2021-09-17;2021-12-06;;Архангельск;Коррозия печатной платы
90255;Модуль ОСН-4 (Экспресс);1713;2021-09-14;2021-09-14;2021-09-14;Архангельск;
90131;Плата ПДТ32-02 (ГАМЕМ);708430;2021-09-09;2021-09-09;2021-09-10;Красноярск;Прогар печатной платы.
90090;Операторская панель ABB CP552;0449-038;2021-09-09;2021-10-20;2021-10-22;Москва-Киевская;микроконтроллер нет ответа
90064;Плата силового модуля СМПК.758725.039;881;2021-09-09;2021-09-13;;Санкт-Петербург;прогар печатной платы
90038;Контроллер Siemens CPU224;J9P9472686;2021-09-08;2021-09-13;2021-09-14;Воронеж;ВВРЗ(ЗАВОД)выгорание платы
90025;Модуль БРНГ (ЭЛСИЭЛ) СМПК.758726.025-0х;276;2021-09-08;;;Пермь;долгий ремонт ждет процессор
90009;Светильник встраиваемый светодиодный СВС-01;;2021-09-07;2022-01-25;2022-01-25;Москва-Николаевка;
89957;Плата считывающего устр-ва SEA-23;;2021-09-06;2021-09-08;;Новосибирск;
89956;Сетевой адаптер АВДБ.687280.012;1341;2021-09-06;2021-09-08;;Новосибирск;Умер Wafer. В ЭЛК. Отпр. в ЭЛК 22.10.2021. Забракован ЭЛК, вернулся 24.01.2022 г.
89941;Прочее (см. примечания);;2021-09-06;2021-09-07;;Котлас;Плата от АЗР-90А-180В-М. В ремонт на фирму изготовитель.
89933;Прочее (см. примечания);;2021-09-06;2021-12-27;;Адлер;Плата 3FAZ-5KW прогар печатной платы
89881;Плата инвертора ППН СМПК.758726.163 СМПК.435331.020;363;2021-09-03;2021-09-14;;Смоленск;Прогар печатной платы.
89818;Прочее (см. примечания);30159158;2021-08-31;2021-10-04;2021-10-08;Воронеж;Модуль RAMP. Передан Фомину Е.В. в ремонт
89788;Блок ППН в сборе (ГАМЕМ);1045;2021-08-31;2021-09-02;2021-10-01;Казань;ППН1.1 с дроселем. Полностью выгорел
89758;Модуль БУЭ-К (Экспресс 1А41);986;2021-08-30;2021-12-23;;Адлер;"Неисправен контроллер, ht18lg. Отпр. в ремонт в ""ЭКСПРЕСС"" 4.02.2022"
89715;Инвертор ИН 110/220/5000/50;4121;2021-08-30;;;Сервисный центр;Казань. Отпр. в ЛМ Инвертор 12.10.2021
89708;Подъемник инвалида ППТ-1ДП2;43;2021-08-27;2021-08-30;2021-09-01;Череповец;нет микросхемы MC3PHACVPE
89690;Плата ПУ1-1 (ГАМЕМ);30203760;2021-08-26;2021-08-27;;Брянск;
89665;Плата упр. ВВ преобразователем СМПК.468332.120;91;2021-08-26;2022-02-04;;Адлер;Нет сигналов вкл.К5 и К6. На Элсиэл.
89556;Блок упр. авт. двери СПСТ.468361.016;808061;2021-08-24;2021-08-24;2021-08-27;Саратов;прогар обеих плат
89552;Прочее (см. примечания);20;2021-08-24;2021-08-24;2021-08-24;Санкт-Петербург;Плата СМПК.435344.001-01
89551;Плата усилителя сигнала упр. СМПК.468741.042 СМПК.758726.175;133;2021-08-24;2021-08-24;2021-08-24;Санкт-Петербург;
89543;Телевизор SHARP LC-15S1E;512013805;2021-08-24;2021-08-27;;Архангельск;
89508;Прочее (см. примечания);;2021-08-24;2021-08-25;;Москва-Киевская;Плата Э-12.03.10.05.001.01АТК
89506;Датчик ОДМ-3 ИТ7.102.725;;2021-08-24;2021-09-06;;Москва-Киевская;
89397;Плата контроля СМПК.468332.164 СМПК.758726.230;932;2021-08-20;2021-11-19;;Санкт-Петербург;Вышел из стоя МК. Прогар ПП.
89347;Блок БУЭВ-П АВДБ.758800.200;317;2021-08-19;;;Санкт-Петербург;Неисправен процессор. Отпр. в ЭЛК 22.10.2021
89341;Контроллер ABB PM581;2099;2021-08-19;2021-08-24;;Санкт-Петербург;вышла из строя системная плата
89254;Контроллер Siemens CPU224;K2A83418;2021-08-18;2021-08-20;2021-08-27;Воронеж;ВВРЗ(ЗАВОД) вышел из строя контроллер верхн плата
89237;Контроллер Siemens CPU313C;TDD74724;2021-08-18;2021-08-18;;Москва-Октябрьская;выгорание плат по питанию 24в нет замены выгоревшим микросхемам
89173;БУЗ;258;2021-08-16;;;Владивосток;прогар пп
89170;Плата драйвера ДТИ 6/12 СМПК.758725.026;4235;2021-08-16;2021-08-18;;Владивосток;долгий ремонт
89164;Блок упр. авт. двери СМПК.422412.004 (ЭЛСИЭЛ);3223;2021-08-16;2021-08-16;;Ростов-на-Дону;
89081;Сервер ИВС АВДБ.687280.032;157;2021-08-13;;;Киров;Отпр. в ЭЛК 22.10.2021
89033;Прочее (см. примечания);;2021-08-12;2021-10-04;2021-10-08;Воронеж;ВВРЗ(ЗАВОД). Блок RAMP.Передан в ремонт Фомину Е.В.
89027;Прочее (см. примечания);00132-1;2021-08-12;2021-10-04;2021-10-08;Воронеж;ВВРЗ(ЗАВОД). Панель управления от BMZ Rail 138. Передана в ремонт Фомину Е.В.
